id,scheme_slug,field_name,operator,rule_value,description
1,pm-kisan,occupation,eq,farmer,Citizen occupation must be eq 'farmer'
2,pm-kisan,annual_income,lte,200000,Citizen annual_income must be lte '200000'
3,ayushman-bharat-pmjay,annual_income,lte,150000,Citizen annual_income must be lte '150000'
4,sukanya-samriddhi-yojana,gender,eq,female,Citizen gender must be eq 'female'
5,sukanya-samriddhi-yojana,age,lte,10,Citizen age must be lte '10'
6,ignoaps-old-age-pension,age,gte,60,Citizen age must be gte '60'
7,ignoaps-old-age-pension,annual_income,lte,100000,Citizen annual_income must be lte '100000'
8,pm-vishwakarma,age,gte,18,Citizen age must be gte '18'
9,pm-vishwakarma,occupation,in,"carpenter, blacksmith, potter, goldsmith, sculptor, cobbler, mason, tailor, weaver, barber, washerman, artisan","Citizen occupation must be in 'carpenter, blacksmith, potter, goldsmith, sculptor, cobbler, mason, tailor, weaver, barber, washerman, artisan'"
10,pmay-gramin,annual_income,lte,180000,Citizen annual_income must be lte '180000'
11,pm-ujjwala-yojana,gender,eq,female,Citizen gender must be eq 'female'
12,pm-ujjwala-yojana,age,gte,18,Citizen age must be gte '18'
13,pm-ujjwala-yojana,annual_income,lte,120000,Citizen annual_income must be lte '120000'
14,pm-mudra-yojana,age,gte,18,Citizen age must be gte '18'
15,atal-pension-yojana,age,between,18-40,Citizen age must be between '18-40'
16,post-matric-scholarship,age,between,15-30,Citizen age must be between '15-30'
17,post-matric-scholarship,annual_income,lte,250000,Citizen annual_income must be lte '250000'
18,pm-matru-vandana-yojana,gender,eq,female,Citizen gender must be eq 'female'
19,pm-matru-vandana-yojana,age,gte,19,Citizen age must be gte '19'
20,pm-matru-vandana-yojana,annual_income,lte,800000,Citizen annual_income must be lte '800000'
21,pm-fasal-bima-yojana,occupation,eq,farmer,Citizen occupation must be eq 'farmer'
22,mp-ladli-behna-yojana,state,eq,Madhya Pradesh,Citizen state must be eq 'Madhya Pradesh'
23,mp-ladli-behna-yojana,gender,eq,female,Citizen gender must be eq 'female'
24,mp-ladli-behna-yojana,age,between,21-60,Citizen age must be between '21-60'
25,mp-ladli-behna-yojana,annual_income,lte,250000,Citizen annual_income must be lte '250000'
26,mp-kisan-kalyan-yojana,state,eq,Madhya Pradesh,Citizen state must be eq 'Madhya Pradesh'
27,mp-kisan-kalyan-yojana,occupation,eq,farmer,Citizen occupation must be eq 'farmer'
28,mp-kisan-kalyan-yojana,annual_income,lte,300000,Citizen annual_income must be lte '300000'
29,mp-medhavi-vidyarthi-yojana,state,eq,Madhya Pradesh,Citizen state must be eq 'Madhya Pradesh'
30,mp-medhavi-vidyarthi-yojana,age,between,16-25,Citizen age must be between '16-25'
31,mp-medhavi-vidyarthi-yojana,annual_income,lte,600000,Citizen annual_income must be lte '600000'
32,mh-majhi-ladki-bahin,state,eq,Maharashtra,Citizen state must be eq 'Maharashtra'
33,mh-majhi-ladki-bahin,gender,eq,female,Citizen gender must be eq 'female'
34,mh-majhi-ladki-bahin,age,between,21-65,Citizen age must be between '21-65'
35,mh-majhi-ladki-bahin,annual_income,lte,250000,Citizen annual_income must be lte '250000'
516,assam-solar-krishi-pump-subsidy,state,eq,Assam,Citizen state must be eq 'Assam'
517,assam-solar-krishi-pump-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
518,assam-solar-krishi-pump-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
36,mh-namo-shetkari-yojana,state,eq,Maharashtra,Citizen state must be eq 'Maharashtra'
37,mh-namo-shetkari-yojana,occupation,eq,farmer,Citizen occupation must be eq 'farmer'
38,ka-gruha-lakshmi-scheme,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
39,ka-gruha-lakshmi-scheme,gender,eq,female,Citizen gender must be eq 'female'
40,ka-gruha-lakshmi-scheme,age,gte,18,Citizen age must be gte '18'
41,ka-yuva-nidhi-scheme,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
42,ka-yuva-nidhi-scheme,age,between,18-35,Citizen age must be between '18-35'
43,ka-yuva-nidhi-scheme,occupation,eq,unemployed,Citizen occupation must be eq 'unemployed'
44,andhra-pradesh-kisan-samriddhi-crop-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
45,andhra-pradesh-kisan-samriddhi-crop-assistance,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
46,andhra-pradesh-kisan-samriddhi-crop-assistance,annual_income,lte,300000,Citizen annual_income must be lte '300000'
47,andhra-pradesh-solar-krishi-pump-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
48,andhra-pradesh-solar-krishi-pump-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
49,andhra-pradesh-solar-krishi-pump-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
50,andhra-pradesh-horticulture-drip-irrigation-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
51,andhra-pradesh-horticulture-drip-irrigation-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
52,andhra-pradesh-horticulture-drip-irrigation-grant,annual_income,lte,400000,Citizen annual_income must be lte '400000'
53,andhra-pradesh-dairy-cattle-development-incentive,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
54,andhra-pradesh-dairy-cattle-development-incentive,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
55,andhra-pradesh-dairy-cattle-development-incentive,annual_income,lte,300000,Citizen annual_income must be lte '300000'
56,andhra-pradesh-fodder-cultivation-animal-care-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
57,andhra-pradesh-fodder-cultivation-animal-care-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
58,andhra-pradesh-fodder-cultivation-animal-care-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
59,andhra-pradesh-fisheries-pond-biofloc-support,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
60,andhra-pradesh-fisheries-pond-biofloc-support,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
61,andhra-pradesh-fisheries-pond-biofloc-support,annual_income,lte,400000,Citizen annual_income must be lte '400000'
62,andhra-pradesh-soil-health-organic-farming-mission,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
63,andhra-pradesh-soil-health-organic-farming-mission,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
64,andhra-pradesh-soil-health-organic-farming-mission,annual_income,lte,300000,Citizen annual_income must be lte '300000'
65,andhra-pradesh-farm-mechanization-rotavator-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
66,andhra-pradesh-farm-mechanization-rotavator-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
67,andhra-pradesh-farm-mechanization-rotavator-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
68,andhra-pradesh-post-matric-merit-scholarship,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
69,andhra-pradesh-post-matric-merit-scholarship,occupation,eq,Student,Citizen occupation must be eq 'Student'
70,andhra-pradesh-post-matric-merit-scholarship,annual_income,lte,250000,Citizen annual_income must be lte '250000'
71,andhra-pradesh-free-digital-tablet-laptop-distribution,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
72,andhra-pradesh-free-digital-tablet-laptop-distribution,occupation,eq,Student,Citizen occupation must be eq 'Student'
73,andhra-pradesh-free-digital-tablet-laptop-distribution,annual_income,lte,400000,Citizen annual_income must be lte '400000'
74,andhra-pradesh-competitive-exam-coaching-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
75,andhra-pradesh-competitive-exam-coaching-assistance,occupation,eq,Student,Citizen occupation must be eq 'Student'
76,andhra-pradesh-competitive-exam-coaching-assistance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
77,andhra-pradesh-girl-child-higher-education-incentive,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
78,andhra-pradesh-girl-child-higher-education-incentive,occupation,eq,Student,Citizen occupation must be eq 'Student'
