slug,name,level,schemes_count
department-of-agriculture-farmers-welfare-andaman-and-nicobar-islands,"Department of Agriculture & Farmers Welfare, Andaman and Nicobar Islands",state,8
department-of-agriculture-farmers-welfare-andhra-pradesh,"Department of Agriculture & Farmers Welfare, Andhra Pradesh",state,24
department-of-agriculture-farmers-welfare-arunachal-pradesh,"Department of Agriculture & Farmers Welfare, Arunachal Pradesh",state,16
department-of-agriculture-farmers-welfare-assam,"Department of Agriculture & Farmers Welfare, Assam",state,22
department-of-agriculture-farmers-welfare-bihar,"Department of Agriculture & Farmers Welfare, Bihar",state,24
department-of-agriculture-farmers-welfare-chandigarh,"Department of Agriculture & Farmers Welfare, Chandigarh",state,8
department-of-agriculture-farmers-welfare-chhattisgarh,"Department of Agriculture & Farmers Welfare, Chhattisgarh",state,17
department-of-agriculture-farmers-welfare-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Agriculture & Farmers Welfare, Dadra and Nagar Haveli and Daman and Diu",state,8
department-of-agriculture-farmers-welfare-delhi,"Department of Agriculture & Farmers Welfare, Delhi",state,17
department-of-agriculture-farmers-welfare-goa,"Department of Agriculture & Farmers Welfare, Goa",state,11
department-of-agriculture-farmers-welfare-gujarat,"Department of Agriculture & Farmers Welfare, Gujarat",state,24
department-of-agriculture-farmers-welfare-haryana,"Department of Agriculture & Farmers Welfare, Haryana",state,24
department-of-agriculture-farmers-welfare-himachal-pradesh,"Department of Agriculture & Farmers Welfare, Himachal Pradesh",state,16
department-of-agriculture-farmers-welfare-jammu-and-kashmir,"Department of Agriculture & Farmers Welfare, Jammu and Kashmir",state,16
department-of-agriculture-farmers-welfare-jharkhand,"Department of Agriculture & Farmers Welfare, Jharkhand",state,17
department-of-agriculture-farmers-welfare-karnataka,"Department of Agriculture & Farmers Welfare, Karnataka",state,24
department-of-agriculture-farmers-welfare-kerala,"Department of Agriculture & Farmers Welfare, Kerala",state,24
department-of-agriculture-farmers-welfare-ladakh,"Department of Agriculture & Farmers Welfare, Ladakh",state,8
department-of-agriculture-farmers-welfare-lakshadweep,"Department of Agriculture & Farmers Welfare, Lakshadweep",state,8
