id,scheme_slug,document_name,is_mandatory,description
1,pm-kisan,Aadhaar Card,1,Mandatory identity proof
2,pm-kisan,Bank Passbook,1,Bank account details linked to Aadhaar
3,pm-kisan,Land Records,1,Khasra / Khatauni land ownership paper
4,ayushman-bharat-pmjay,Aadhaar Card,1,Identity proof
5,ayushman-bharat-pmjay,Ration Card,1,Family membership / BPL card
6,sukanya-samriddhi-yojana,Birth Certificate,1,Birth certificate of the girl child
7,sukanya-samriddhi-yojana,Parent Aadhaar Card,1,Identity and address proof of legal guardian
8,ignoaps-old-age-pension,Aadhaar Card,1,Identity proof
9,ignoaps-old-age-pension,Age Proof Certificate,1,Birth certificate or voter card showing age 60+
10,ignoaps-old-age-pension,Income Certificate,1,BPL card or Tehsildar income certificate
11,ignoaps-old-age-pension,Bank Passbook,1,Bank account for pension DBT
12,pm-vishwakarma,Aadhaar Card,1,Identity proof
13,pm-vishwakarma,Bank Passbook,1,Bank account for stipend & loans
14,pm-vishwakarma,Trade Self Declaration,1,Declaration of traditional family trade
15,pmay-gramin,Aadhaar Card,1,Identity proof
16,pmay-gramin,Bank Passbook,1,Bank account for DBT installments
17,pmay-gramin,MGNREGA Job Card,0,Job card number for wage tracking
18,pm-ujjwala-yojana,Aadhaar Card,1,Identity proof of woman applicant
19,pm-ujjwala-yojana,Ration Card,1,Family composition proof
20,pm-ujjwala-yojana,Bank Passbook,1,Aadhaar-linked bank account
21,pm-mudra-yojana,Aadhaar Card,1,Identity proof
22,pm-mudra-yojana,PAN Card,1,Tax identity for business borrower
23,pm-mudra-yojana,Business Proof,1,Udyam registration or shop establishment license
24,pm-mudra-yojana,Bank Statement,1,Last 6 months bank statement
25,atal-pension-yojana,Aadhaar Card,1,Identity proof
26,atal-pension-yojana,Bank Passbook,1,Savings bank account with auto-debit facility
27,post-matric-scholarship,Aadhaar Card,1,Identity proof
28,post-matric-scholarship,Income Certificate,1,Competent authority family income certificate
29,post-matric-scholarship,Academic Marksheet,1,Previous qualifying exam marksheet
30,post-matric-scholarship,College Admission Fee Receipt,1,Proof of active college enrollment
31,pm-matru-vandana-yojana,Aadhaar Card,1,Identity proof of mother
32,pm-matru-vandana-yojana,MCP Card,1,Mother and Child Protection card
33,pm-matru-vandana-yojana,Bank Passbook,1,Bank account in mother's name
34,pm-fasal-bima-yojana,Aadhaar Card,1,Identity proof
35,pm-fasal-bima-yojana,Land Possession Certificate,1,Khasra / Khatauni land record
36,pm-fasal-bima-yojana,Sowing Certificate,1,Certificate from Patwari / Village Officer
37,pm-fasal-bima-yojana,Bank Passbook,1,Bank account for claim DBT
38,mp-ladli-behna-yojana,Samagra Family ID,1,MP Samagra Portal 9-digit member ID
39,mp-ladli-behna-yojana,Aadhaar Card,1,Mandatory identity proof linked with mobile
